Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
1060,Julie & Julia,129540522,94125426,35415096,2009.csv,2009,0.7266099020351331,0.2733900979648669
1061,Resident Evil: Apocalypse,129342769,51201453,78141316,2004.csv,2004,0.3958586428592695,0.6041413571407305
1062,Warm Hug,129240236,0,129240236,2020.csv,2020,0.0,1.0
1063,The Fighter,129190869,93617009,35573860,2009.csv,2009,0.7246410657706777,0.27535893422932234
1064,The Woman in Black,128955898,54333290,74622608,2012.csv,2012,0.4213323379749564,0.5786676620250436
1065,Space Cowboys,128884132,90464773,38419359,2000.csv,2000,0.70190776472002,0.29809223527998
1066,The Forbidden Kingdom,128779982,52075270,76704712,2008.csv,2008,0.4043739499823816,0.5956260500176184
1067,The Heartbreak Kid,128453183,36787257,91665926,2007.csv,2007,0.2863864961602392,0.7136135038397609
1068,Pan,128388320,35088320,93300000,2015.csv,2015,0.2732983810365304,0.7267016189634695
1069,Space Station 3D,128363881,93383953,34979928,2002.csv,2002,0.7274939980974866,0.2725060019025134
1070,Sister,128317206,0,128317206,2021.csv,2021,0.0,1.0
1071,Step Brothers,128107642,100468793,27638849,2008.csv,2008,0.7842529253641246,0.21574707463587536
1072,Blended,127994610,46294610,81700000,2014.csv,2014,0.36169187124364066,0.6383081287563593
1073,Law Abiding Citizen,127944208,73357727,54586481,2009.csv,2009,0.5733571542371031,0.4266428457628969
1074,The Adjustment Bureau,127869379,62495645,65373734,2010.csv,2010,0.4887459803804944,0.5112540196195057
1075,U-571,127666415,77122415,50544000,2000.csv,2000,0.6040932143351875,0.39590678566481247
1076,Ad Astra,127461872,50188370,77273502,2019.csv,2019,0.393752023350167,0.606247976649833
1077,Midway,127420861,56846802,70574059,2019.csv,2019,0.4461341852022174,0.5538658147977826
1078,March of the Penguins,127392693,77437223,49955470,2005.csv,2005,0.60786235989218,0.39213764010782
1079,Predators,127233108,52000688,75232420,2010.csv,2010,0.40870406152461514,0.5912959384753849
1080,Chronicle,126636097,64575175,62060922,2012.csv,2012,0.5099270786906833,0.49007292130931673
1081,Walking with Dinosaurs 3D,126546518,36076121,90470397,2012.csv,2012,0.2850818937586256,0.7149181062413744
1082,Sex Tape,126069509,38543473,87526036,2014.csv,2014,0.30573191968249835,0.6942680803175016
1083,This Is the End,126041322,101470202,24571120,2013.csv,2013,0.8050550437736602,0.1949449562263398
1084,The Upside,125852517,108252517,17600000,2019.csv,2019,0.860153770305603,0.13984622969439697
1085,Detective Chinatown,125842935,474252,125368683,2015.csv,2015,0.003768602504383738,0.9962313974956163
1086,Wolf Totem,125837070,210591,125626479,2015.csv,2015,0.0016735211651065938,0.9983264788348934
1087,Mechanic: Resurrection,125729635,21218403,104511232,2016.csv,2016,0.1687621458536804,0.8312378541463196
1088,Ender's Game,125544024,61737191,63806833,2013.csv,2013,0.49175730578780874,0.5082426942121913
1089,Happy Death Day,125479266,55683845,69795421,2017.csv,2017,0.44376929173302626,0.5562307082669737
1090,Captain Underpants: The First Epic Movie,125427681,73921000,51506681,2017.csv,2017,0.5893515642691345,0.4106484357308655
1091,The King's Man,125247088,37087956,88159132,2021.csv,2021,0.2961183097526387,0.7038816902473612
1092,"Legally Blonde 2: Red, White & Blonde",124914842,90186328,34728514,2003.csv,2003,0.7219824846754399,0.2780175153245601
1093,The Family Man,124745083,75793305,48951778,2000.csv,2000,0.6075855110056723,0.39241448899432774
1094,Ride Along 2,124605297,91221830,33383467,2015.csv,2015,0.7320862932496361,0.2679137067503639
1095,Coraline,124596837,75286229,49310608,2009.csv,2009,0.6042386854491338,0.39576131455086616
1096,Ray,123971376,75331600,48639776,2004.csv,2004,0.6076531731002163,0.39234682689978373
1097,The Time Machine,123729176,56832494,66896682,2002.csv,2002,0.4593297703687932,0.5406702296312068
1098,The Theory of Everything,123726688,35893537,87833151,2014.csv,2014,0.2901034334645731,0.7098965665354269
1099,The Queen,123384128,56441711,66942417,2006.csv,2006,0.4574470956264326,0.5425529043735674
1100,Nanny McPhee,123276807,47144110,76132697,2005.csv,2005,0.3824248141014879,0.6175751858985121
1101,Big Fish,123218424,66809693,56408731,2003.csv,2003,0.5422053848051165,0.4577946151948835
1102,Hide and Seek,123204920,51100486,72104434,2005.csv,2005,0.41476010860605245,0.5852398913939476
1103,The Curse of La Llorona,123133739,54733739,68400000,2019.csv,2019,0.4445064321485438,0.5554935678514562
1104,The Lego Ninjago Movie,123081555,59281555,63800000,2017.csv,2017,0.4816445079849698,0.5183554920150302
1105,The Pirates! Band of Misfits,123054041,31051126,92002915,2012.csv,2012,0.25233731251458863,0.7476626874854114
1106,Looking Up,122994583,84267,122910316,2019.csv,2019,0.0006851277344466463,0.9993148722655534
1107,Zombieland: Double Tap,122810399,73123082,49687317,2019.csv,2019,0.5954144160056023,0.40458558399439776
1108,Dragon Blade,122593849,74068,122519781,2015.csv,2015,0.0006041738684621934,0.9993958261315378
1109,Spirit: Stallion of the Cimarron,122563539,73280117,49283422,2002.csv,2002,0.5978949171825073,0.40210508281749274
1110,Surrogates,122444772,38577772,83867000,2009.csv,2009,0.3150626308487879,0.6849373691512121
1111,Invictus,122233971,37491364,84742607,2009.csv,2009,0.3067180399465219,0.6932819600534781
1112,Prisoners,122126687,61002302,61124385,2013.csv,2013,0.4995001788593512,0.5004998211406488
1113,Secret Superstar,122026260,0,122026260,2017.csv,2017,0.0,1.0
1114,Peter Pan,121975011,48462608,73512403,2003.csv,2003,0.3973158731668407,0.6026841268331593
1115,Deepwater Horizon,121790373,61433527,60356846,2016.csv,2016,0.5044202221139433,0.4955797778860567
1116,Pride & Prejudice,121616555,38405088,83211467,2005.csv,2005,0.31578832339067653,0.6842116766093235
1117,Last Christmas,121550750,35150750,86400000,2019.csv,2019,0.2891857927655732,0.7108142072344268
1118,Soul,120957731,0,120957731,2020.csv,2020,0.0,1.0
1119,The Nut Job,120885527,64251541,56633986,2014.csv,2014,0.531507307735855,0.4684926922641451
1120,Intolerable Cruelty,120801243,35327628,85473615,2003.csv,2003,0.2924442424818427,0.7075557575181574
1121,Apocalypto,120673227,50866635,69806592,2006.csv,2006,0.42152378174157884,0.5784762182584211
1122,Instant Family,120556201,67363237,53192964,2018.csv,2018,0.5587704028596588,0.4412295971403412
1123,Eight Below,120455994,81612565,38843429,2006.csv,2006,0.6775301277244866,0.3224698722755133
1124,Red Cliff II,120432178,0,120432178,2009.csv,2009,0.0,1.0
1125,We Bought a Zoo,120081841,75624550,44457291,2011.csv,2011,0.629775071486454,0.37022492851354605
1126,The Pianist,120072577,32572577,87500000,2002.csv,2002,0.27127407284679167,0.7287259271532084
1127,The Omen,119974972,54607383,65367589,2006.csv,2006,0.4551564554647281,0.544843544535272
1128,The Commuter,119942387,36343858,83598529,2017.csv,2017,0.3030109614210029,0.6969890385789971
1129,Extreme Job,119932733,1565885,118366848,2019.csv,2019,0.013056360518358236,0.9869436394816418
1130,The Addams Family 2,119815153,56489153,63326000,2021.csv,2021,0.4714691888763018,0.5285308111236982
1131,Parental Guidance,119772232,77267296,42504936,2012.csv,2012,0.6451186114658028,0.35488138853419715
1132,Road Trip,119754278,68540777,51213501,2000.csv,2000,0.5723451232364325,0.4276548767635675
1133,Spy Kids 2: Island of Lost Dreams,119723358,85846429,33876929,2002.csv,2002,0.7170399363505991,0.2829600636494008
1134,Dora and the Lost City of Gold,119682635,60477943,59204692,2019.csv,2019,0.505319280445321,0.4946807195546789
1135,Wonder Park,119559110,45216793,74342317,2019.csv,2019,0.37819613244026323,0.6218038675597368
1136,Allied,119520023,40098064,79421959,2016.csv,2016,0.33549243878575896,0.664507561214241
1137,Charlie Wilson's War,119483446,66661095,52822351,2007.csv,2007,0.5579107167699198,0.44208928323008023
1138,Sahara,119240351,68671925,50568426,2005.csv,2005,0.5759117985152526,0.4240882014847474
1139,Unfaithful,119137784,52775765,66362019,2002.csv,2002,0.442980918631154,0.557019081368846
1140,I Belonged to You,119107580,744541,118363039,2016.csv,2016,0.006250995948368693,0.9937490040516314
1141,The Shallows,119100758,55124043,63976715,2016.csv,2016,0.46283536667331704,0.537164633326683
1142,Forever Young,119055731,0,119055731,2017.csv,2017,0.0,1.0
1143,Final Destination 3,118890272,54098051,64792221,2006.csv,2006,0.4550250419142787,0.5449749580857213
1144,Hankyu Railways - A 15-minute Miracle,118799256,0,118799256,2011.csv,2011,0.0,1.0
1145,Lost in Translation,118685453,44585453,74100000,2003.csv,2003,0.3756606380396088,0.6243393619603912
1146,The Purge: Election Year,118587880,79213375,39374505,2016.csv,2016,0.6679719293405025,0.3320280706594974
1147,Jurassic Park 2013 Re-release,118192315,45385935,72806380,2013.csv,2013,0.38400072796611184,0.6159992720338882
1148,A Cool Fish,118153135,551876,117601259,2018.csv,2018,0.004670853634141828,0.9953291463658581
1149,Disturbia,118114220,80209692,37904528,2007.csv,2007,0.6790858204879988,0.3209141795120012
1150,Why Him?,118102725,60323786,57778939,2016.csv,2016,0.5107738707976467,0.4892261292023533
1151,Corpse Bride,118090836,53359111,64731725,2005.csv,2005,0.4518480248543587,0.5481519751456413
1152,P Storm,117991727,326711,117665016,2019.csv,2019,0.0027689314183866466,0.9972310685816134
1153,Saving Mr. Banks,117867984,83301580,34566404,2013.csv,2013,0.7067362753909493,0.29326372460905076
1154,Pompeii,117831631,23219748,94611883,2014.csv,2014,0.19705869979852864,0.8029413002014714
1155,Magic Mike XXL,117813057,66013057,51800000,2015.csv,2015,0.5603203811271954,0.43967961887280455
1156,The Notebook,117812623,81001787,36810836,2004.csv,2004,0.6875476068468487,0.3124523931531513
1157,Game Night,117679066,69179066,48500000,2018.csv,2018,0.5878621266419637,0.41213787335803637
1158,The Forgotten,117592831,67133509,50459322,2004.csv,2004,0.5708979742140914,0.42910202578590867
1159,A Knight's Tale,117487473,56569702,60917771,2001.csv,2001,0.4814956059187689,0.5185043940812311
1160,Hotel for Dogs,117252578,73034460,44218118,2009.csv,2009,0.6228814858126189,0.377118514187381
1161,Paycheck,117248958,53790451,63458507,2003.csv,2003,0.4587712498050516,0.5412287501949484
1162,Water for Elephants,117094902,58709717,58385185,2011.csv,2011,0.5013857648559286,0.49861423514407144
1163,Warm Bodies,116980662,66380662,50600000,2013.csv,2013,0.5674498747493838,0.4325501252506162
1164,Barnyard,116755080,72637803,44117277,2006.csv,2006,0.6221382658467624,0.3778617341532377
1165,Finding Neverland,116650613,51680613,64970000,2004.csv,2004,0.4430376461030685,0.5569623538969315
1166,Freddy vs. Jason,116632628,82622655,34009973,2003.csv,2003,0.7084008687517527,0.29159913124824727
1167,Abraham Lincoln: Vampire Hunter,116471580,37519139,78952441,2012.csv,2012,0.32213127872052566,0.6778687212794744
1168,The Ugly Truth Slovenian Re-release,116383693,0,116383693,2009.csv,2009,0.0,1.0
1169,Personal Tailor,116126458,375892,115750566,2013.csv,2013,0.0032369195312923434,0.9967630804687077
1170,Body of Lies,115900897,39394666,76506231,2008.csv,2008,0.33989957817151323,0.6601004218284868
1171,The Chronicles of Riddick,115900534,57761012,58139522,2004.csv,2004,0.49836709121633554,0.5016329087836644
1172,The Iron Lady,115890699,30017992,85872707,2011.csv,2011,0.25901985456140875,0.7409801454385913
1173,Dragon Ball Super: Broly,115757940,30712119,85045821,2018.csv,2018,0.26531328218176653,0.7346867178182335
1174,A Nightmare on Elm Street,115694863,63075011,52619852,2010.csv,2010,0.5451841971583474,0.4548158028416525
1175,Detective Conan: The Fist of Blue Sapphire,115570314,0,115570314,2019.csv,2019,0.0,1.0
1176,Closer,115505027,33987757,81517270,2004.csv,2004,0.2942534873395597,0.7057465126604403
1177,Bride Wars,115375850,58715510,56660340,2009.csv,2009,0.5089064132571938,0.49109358674280623
1178,Pitch Perfect,115350426,65001093,50349333,2012.csv,2012,0.5635097784554346,0.4364902215445654
1179,The Gentlemen,115171795,36471795,78700000,2019.csv,2019,0.31667297535824634,0.6833270246417537
1180,The Monkey King 3,115084576,187074,114897502,2018.csv,2018,0.0016255349457081026,0.998374465054292
1181,Snow Dogs,115035090,81172560,33862530,2002.csv,2002,0.7056330377104933,0.2943669622895066
1182,Dear John,114984666,80014842,34969824,2010.csv,2010,0.6958740220195969,0.3041259779804031
1183,So Young,114926694,11186,114915508,2013.csv,2013,9.733160861653256e-05,0.9999026683913834
1184,The Lake House,114830111,52330111,62500000,2006.csv,2006,0.455717673215521,0.5442823267844791
1185,Book of Love,114679097,0,114679097,2016.csv,2016,0.0,1.0
1186,We Were Soldiers,114660784,78122718,36538066,2002.csv,2002,0.6813377274657393,0.3186622725342607
1187,Office Christmas Party,114501299,54767494,59733805,2016.csv,2016,0.47831329843690246,0.5216867015630976
1188,Hope Springs,114281051,63536011,50745040,2012.csv,2012,0.5559627816163504,0.4440372183836496
1189,The Score,114252154,71107711,43144443,2001.csv,2001,0.6223752332931947,0.3776247667068054
1190,Step Up,114194847,65328121,48866726,2006.csv,2006,0.5720759098700837,0.4279240901299163
1191,Seventh Son,114178613,17223265,96955348,2014.csv,2014,0.15084493100297164,0.8491550689970284
1192,My Love,114016434,86252,113930182,2021.csv,2021,0.0007564874375916721,0.9992435125624083
1193,Coyote Ugly,113916474,60786269,53130205,2000.csv,2000,0.5336038490798092,0.4663961509201909
1194,Saw V,113864059,56746769,57117290,2008.csv,2008,0.49837296771582684,0.5016270322841732
1195,Insomnia,113714830,67355513,46359317,2002.csv,2002,0.5923195154053346,0.40768048459466544
1196,Changeling,113398237,35739802,77658435,2008.csv,2008,0.31517070234522254,0.6848292976547775
1197,Rambo,113244290,42754105,70490185,2008.csv,2008,0.37753872623511525,0.6224612737648847
1198,The Dark Tower,113231078,50701325,62529753,2017.csv,2017,0.44776863291895885,0.5522313670810411
1199,Pet Sematary,113118226,54724696,58393530,2019.csv,2019,0.4837831880425706,0.5162168119574294
1200,White Chicks,113086475,70831760,42254715,2004.csv,2004,0.6263504101617811,0.37364958983821894
1201,Insidious: Chapter 3,112983889,52218558,60765331,2015.csv,2015,0.46217702773534375,0.5378229722646563
1202,Final Destination,112880294,53331147,59549147,2000.csv,2000,0.47245754870199047,0.5275424512980096
1203,Cats & Dogs: The Revenge of Kitty Galore,112483764,43585753,68898011,2010.csv,2010,0.3874848373672844,0.6125151626327155
1204,Tooth Fairy,112462508,60022256,52440252,2010.csv,2010,0.5337090295016362,0.46629097049836377
1205,Boonie Bears: Blast Into the Past,112367881,0,112367881,2019.csv,2019,0.0,1.0
1206,How to Be Single,112343513,46843513,65500000,2016.csv,2016,0.4169667811616324,0.5830332188383677
1207,The Exorcist 2000 Director's Cut,112053066,39671011,72382055,2000.csv,2000,0.3540377110252387,0.6459622889747613
1208,The Purge: Anarchy,111928365,71962800,39965565,2014.csv,2014,0.6429362208587609,0.35706377914123916
1209,"Dad, Where Are We Going?",111870000,0,111870000,2014.csv,2014,0.0,1.0
1210,Get Hard,111711453,90411453,21300000,2015.csv,2015,0.809330203591569,0.19066979640843093
1211,Underworld: Evolution,111476513,62318875,49157638,2006.csv,2006,0.5590314347202446,0.44096856527975536
1212,Fool's Gold,111231041,70231041,41000000,2008.csv,2008,0.6313978577257044,0.36860214227429555
1213,The Call of the Wild,111105497,62342368,48763129,2020.csv,2020,0.5611096631879519,0.4388903368120481
1214,The Dukes of Hazzard,111069515,80270227,30799288,2005.csv,2005,0.7227025975579348,0.27729740244206524
1215,Good Boys,111037232,83140306,27896926,2019.csv,2019,0.748760613917321,0.251239386082679
1216,Mission to Mars,110983407,60883407,50100000,2000.csv,2000,0.5485811676334643,0.4514188323665357
1217,The Santa Clause 3: The Escape Clause,110768122,84500122,26268000,2006.csv,2006,0.7628559595873622,0.23714404041263784
1218,Free Birds,110387072,55750480,54636592,2013.csv,2013,0.5050453734292364,0.49495462657076367
1219,The Kid,110317580,69691949,40625631,2000.csv,2000,0.6317392839835682,0.36826071601643184
1220,10 Cloverfield Lane,110216998,72082998,38134000,2016.csv,2016,0.6540098107190326,0.34599018928096736
1221,Moneyball,110206216,75605492,34600724,2011.csv,2011,0.6860365480654921,0.3139634519345079
1222,Buddies in India,110155128,293194,109861934,2017.csv,2017,0.002661646401064506,0.9973383535989355
1223,Hoodwinked,110013167,51386611,58626556,2005.csv,2005,0.46709509780770153,0.5329049021922985
1224,The 5th Wave,109906372,34916787,74989585,2015.csv,2015,0.3176957474312772,0.6823042525687227
1225,Peter Pan 2: Return to Never Land,109862682,48430258,61432424,2002.csv,2002,0.4408253750805028,0.5591746249194972
1226,Sideways,109706931,71503593,38203338,2004.csv,2004,0.6517691484779572,0.34823085152204286
1227,The Prestige,109676311,53089891,56586420,2006.csv,2006,0.4840597802382321,0.5159402197617678
1228,Treasure Planet,109578115,38176783,71401332,2002.csv,2002,0.3483978803614207,0.6516021196385793
1229,Along With the Gods: The Two Worlds,109383972,1908823,107475149,2017.csv,2017,0.017450664526974757,0.9825493354730253
1230,Billy Elliot,109280263,21995263,87285000,2000.csv,2000,0.20127388419627065,0.7987261158037293
1231,Transporter 3,108979549,31715062,77264487,2008.csv,2008,0.2910184735669993,0.7089815264330007
1232,Earth,108975160,32011576,76963584,2007.csv,2007,0.293751126403485,0.706248873596515
1233,The Reader,108902486,34194407,74708079,2008.csv,2008,0.3139910598551442,0.6860089401448558
1234,The Hours,108846072,41675994,67170078,2002.csv,2002,0.382889278723811,0.617110721276189
1235,Sanctum,108609310,23209310,85400000,2010.csv,2010,0.2136954005140075,0.7863045994859925
1236,Cinderella Man,108539911,61649911,46890000,2005.csv,2005,0.5679930122662437,0.4320069877337563
1237,Confessions of a Shopaholic,108394089,44277350,64116739,2009.csv,2009,0.40848491286273,0.59151508713727
1238,The Boxtrolls,108255770,50837305,57418465,2014.csv,2014,0.4696036525351027,0.5303963474648973
1239,Hidalgo,108040622,67303450,40737172,2004.csv,2004,0.6229457842254925,0.3770542157745075
1240,Asterix & Obelix: Mission Cleopatra,108012365,0,108012365,2002.csv,2002,0.0,1.0
1241,Neighbors 2: Sorority Rising,108007109,55455765,52551344,2016.csv,2016,0.5134455084803723,0.48655449151962765
1242,Arthur and the Invisibles,107944236,15132763,92811473,2006.csv,2006,0.14019056098558147,0.8598094390144185
1243,Horrible Bosses 2,107645357,54445357,53200000,2014.csv,2014,0.5057845365313806,0.49421546346861944
1244,Paul Blart: Mall Cop 2,107588225,71038190,36550035,2015.csv,2015,0.6602784830774929,0.33972151692250707
1245,The Amityville Horror,107516369,65233369,42283000,2005.csv,2005,0.6067296506265013,0.39327034937349864
1246,Vacation,107228221,58884188,48344033,2015.csv,2015,0.5491482321617552,0.45085176783824477
1247,Shaft,107196498,70334258,36862240,2000.csv,2000,0.656124587204332,0.343875412795668
1248,ParaNorman,107139399,56003051,51136348,2012.csv,2012,0.5227120137196215,0.4772879862803785
1249,The Texas Chainsaw Massacre,107071655,80571655,26500000,2003.csv,2003,0.7525021911728179,0.24749780882718214
1250,Harmony,107056263,0,107056263,2010.csv,2010,0.0,1.0
1251,The Man from U.N.C.L.E.,107045109,45445109,61600000,2015.csv,2015,0.42454166682197503,0.575458333178025
1252,The Breakup Guru,106980263,208959,106771304,2014.csv,2014,0.00195324814260365,0.9980467518573963
1253,Hereafter,106956330,32746941,74209389,2010.csv,2010,0.30617113545313307,0.693828864546867
1254,Made of Honor,106407672,46012734,60394938,2008.csv,2008,0.43241932780937076,0.5675806721906292
1255,Race to Witch Mountain,106387141,67172594,39214547,2009.csv,2009,0.6313976799132143,0.3686023200867857
1256,Chronicles of the Ghostly Tribe,106380000,0,106380000,2015.csv,2015,0.0,1.0
1257,The Whole Nine Yards,106371651,57262492,49109159,2000.csv,2000,0.5383247459419428,0.46167525405805726
1258,Shaun the Sheep Movie,106209378,19375982,86833396,2015.csv,2015,0.18243193176406702,0.817568068235933
1259,About Schmidt,105834556,65016287,40818269,2002.csv,2002,0.6143200241705554,0.3856799758294446
1260,Forgetting Sarah Marshall,105833257,63172463,42660794,2008.csv,2008,0.5969055927287582,0.4030944072712418
1261,Life as We Know It,105734416,53374681,52359735,2010.csv,2010,0.50479950634049,0.4952004936595101
1262,First Man,105697415,44936545,60760870,2018.csv,2018,0.4251432733714443,0.5748567266285557
1263,Planet 51,105647102,42194060,63453042,2009.csv,2009,0.39938681895883904,0.600613181041161
1264,The Brothers Grimm,105316267,37916267,67400000,2005.csv,2005,0.36002289181024616,0.6399771081897538
1265,Gangster Squad,105200903,46000903,59200000,2013.csv,2013,0.4372671877160598,0.5627328122839402
1266,Along Came a Spider,105178561,74078174,31100387,2001.csv,2001,0.7043086851131192,0.2956913148868808
1267,Sisters,105011053,87044645,17966408,2015.csv,2015,0.8289093625220576,0.17109063747794245
1268,The Campaign,104907746,86907746,18000000,2012.csv,2012,0.8284206773444546,0.17157932265554537
1269,Training Day,104876233,76631907,28244326,2001.csv,2001,0.7306889731632523,0.2693110268367477
1270,Let the Bullets Fly,104723314,63012,104660302,2010.csv,2010,0.0006016998277957476,0.9993983001722042
1271,Scary Stories to Tell in the Dark,104545505,68947075,35598430,2019.csv,2019,0.6594934425922951,0.3405065574077049
1272,The Hitchhiker's Guide to the Galaxy,104478416,51085416,53393000,2005.csv,2005,0.48895664727535687,0.5110433527246432
1273,Book Club,104438188,68566296,35871892,2018.csv,2018,0.6565251400187065,0.34347485998129346
1274,The Girl with the Dragon Tattoo,104414200,10095170,94319030,2009.csv,2009,0.09668388016189369,0.9033161198381063
1275,The Tuxedo,104391623,50547998,53843625,2002.csv,2002,0.4842150792118636,0.5157849207881364
1276,The Cell,104155843,61334059,42821784,2000.csv,2000,0.5888681540410555,0.4111318459589444
1277,Little Man,104003322,58645052,45358270,2006.csv,2006,0.5638767192455642,0.4361232807544359
1278,The Water Horse,103967384,40946255,63021129,2007.csv,2007,0.3938375038848722,0.6061624961151278
1279,Wrath of Man,103966489,27466489,76500000,2021.csv,2021,0.26418598208120697,0.7358140179187931
1280,Immortal Demon Slayer,103818506,0,103818506,2017.csv,2017,0.0,1.0
1281,Ouija,103590271,50856010,52734261,2014.csv,2014,0.49093423068658637,0.5090657693134136
1282,The Stepford Wives,103370127,59484742,43885385,2004.csv,2004,0.5754538929801257,0.42454610701987433
1283,Rugrats in Paris,103291131,76507756,26783375,2000.csv,2000,0.7407001478181123,0.2592998521818877
1284,Birdman or (The Unexpected Virtue of Ignorance),103215094,42340598,60874496,2014.csv,2014,0.41021711417518064,0.5897828858248194
1285,Cold War 2,103197501,560824,102636677,2016.csv,2016,0.00543447268165922,0.9945655273183408
1286,Guess Who,103121466,68915888,34205578,2005.csv,2005,0.6682981795468268,0.33170182045317315
1287,Night School,103105878,77339130,25766748,2018.csv,2018,0.75009428657404,0.24990571342596005
1288,Saw,103096345,55185045,47911300,2004.csv,2004,0.5352764445723076,0.4647235554276924
1289,Transcendence,103039258,23022309,80016949,2014.csv,2014,0.22343240282262125,0.7765675971773788
1290,Jimmy Neutron: Boy Genius,102992536,80936232,22056304,2001.csv,2001,0.7858456072972123,0.21415439270278772
1291,Resident Evil,102984862,40119709,62865153,2002.csv,2002,0.3895689931594024,0.6104310068405976
1292,Jigsaw,102952888,38052832,64900056,2017.csv,2017,0.3696140316141496,0.6303859683858505
1293,Just Like Heaven,102854431,48318130,54536301,2005.csv,2005,0.4697719828910434,0.5302280171089566
1294,Love & Other Drugs,102820008,32367005,70453003,2010.csv,2010,0.31479286599549766,0.6852071340045023
1295,Chappie,102811889,31569268,71242621,2015.csv,2015,0.3070585348354022,0.6929414651645979
1296,Star Wars: Episode I - The Phantom Menace 2012 3D Release,102739593,43456382,59283211,2012.csv,2012,0.4229759991359903,0.5770240008640096
1297,Project X,102731865,54731865,48000000,2012.csv,2012,0.5327642499238187,0.46723575007618134
1298,Zombieland,102392080,75590286,26801794,2009.csv,2009,0.7382434852383114,0.2617565147616886
1299,Ghosts of Girlfriends Past,102366815,55250026,47116789,2009.csv,2009,0.5397259453661815,0.4602740546338186
1300,The Wild,102338515,37384046,64954469,2006.csv,2006,0.36529791349815854,0.6347020865018415
1301,Dawn of the Dead,102278712,59020957,43257755,2004.csv,2004,0.5770600337634287,0.4229399662365713
1302,John Q,102244770,71756802,30487968,2002.csv,2002,0.7018139118509436,0.29818608814905645
1303,Railroad Tigers,102205175,218044,101987131,2016.csv,2016,0.002133394908819441,0.9978666050911805
1304,Clifford the Big Red Dog,102047356,48947356,53100000,2021.csv,2021,0.4796533483924855,0.5203466516075145
1305,Heaven Is for Real,101888019,91443253,10444766,2014.csv,2014,0.8974877900020806,0.10251220999791938
1306,Detective Conan: Zero the Enforcer,101860359,0,101860359,2018.csv,2018,0.0,1.0
1307,The Devil Inside,101758490,53261944,48496546,2012.csv,2012,0.5234152354265477,0.4765847645734523
1308,Pineapple Express,101624843,87341380,14283463,2008.csv,2008,0.8594491014367422,0.1405508985632578
1309,Just Married,101564935,56127162,45437773,2003.csv,2003,0.5526234226408947,0.4473765773591053
1310,Miss Congeniality 2: Armed & Fabulous,101393569,48478006,52915563,2005.csv,2005,0.4781171673718281,0.5218828326281719
1311,The Time Traveler's Wife,101344412,63414846,37929566,2009.csv,2009,0.625735990258644,0.37426400974135604
1312,Hitman,101276318,39687694,61588624,2007.csv,2007,0.3918753641892866,0.6081246358107134
1313,The Recruit,101191884,52802140,48389744,2003.csv,2003,0.5218021239727091,0.47819787602729086
1314,Joy,101134059,56451232,44682827,2015.csv,2015,0.5581822044737669,0.4418177955262332
1315,Little Miss Sunshine,101058954,59891098,41167856,2006.csv,2006,0.5926352453638101,0.4073647546361899
1316,Kung Fu Hustle,100912445,17108591,83803854,2004.csv,2004,0.16953896023429024,0.8304610397657097
1317,My Bloody Valentine,100734718,51545952,49188766,2009.csv,2009,0.5116999682274387,0.48830003177256126
1318,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",100654149,66954149,33700000,2014.csv,2014,0.665190155251325,0.334809844748675
1319,Silent Hill,100605135,46982632,53622503,2006.csv,2006,0.46700033750762326,0.5329996624923767
1320,Ladder 49,100572044,74541707,26030337,2004.csv,2004,0.7411772102394578,0.2588227897605422
1321,Life,100541806,30234022,70307784,2017.csv,2017,0.30071095003008,0.69928904996992
1322,Instructions Not Included,100486616,44467206,56019410,2013.csv,2013,0.44251869323572407,0.557481306764276
1323,Tammy,100375432,84525432,15850000,2014.csv,2014,0.8420928340313395,0.15790716596866053
1324,PK,100370104,10616104,89754000,2014.csv,2014,0.10576958254422054,0.8942304174557795
1325,Aftershock,100293273,62962,100230311,2010.csv,2010,0.0006277788940041871,0.9993722211059958
1326,The Good Shepherd,100266865,59952835,40314030,2006.csv,2006,0.5979326769616263,0.40206732303837367
1327,Where the Wild Things Are,100140096,77233467,22906629,2009.csv,2009,0.7712541737527394,0.22874582624726064
1328,Philomena,100129872,37709979,62419893,2013.csv,2013,0.376610678180034,0.623389321819966
1329,The Continent,100125957,0,100125957,2014.csv,2014,0.0,1.0
1330,Nim's Island,100104565,48006762,52097803,2008.csv,2008,0.4795661616430779,0.520433838356922
1331,Don't Say a Word,100020092,55001642,45018450,2001.csv,2001,0.5499059328999617,0.45009406710003824
1332,Atomic Blonde,100014025,51687870,48326155,2017.csv,2017,0.5168062179279356,0.48319378207206437
1333,The Book of Life,99783556,50151543,49632013,2014.csv,2014,0.5026032846534353,0.4973967153465647
1334,Black Mass,99775678,62575678,37200000,2015.csv,2015,0.6271636460340565,0.3728363539659435
1335,Insidious,99557032,54009150,45547882,2011.csv,2011,0.5424945773795266,0.45750542262047345
1336,Line Walker 2: Invisible Spy,99482027,296751,99185276,2019.csv,2019,0.002982960932229497,0.9970170390677705
1337,The Lucky One,99357138,60457138,38900000,2012.csv,2012,0.6084830865397914,0.39151691346020856
1338,Hellboy,99318987,59623958,39695029,2004.csv,2004,0.600327890980201,0.399672109019799
